地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
北京,中国银行保险监督管理委员会北京监管局,北京银保监局,监管部门一级主任科员及以下,30,917,917,5302.0,2495
内蒙古,内蒙古自治区森林消防总队,内蒙古森林消防总队所属森林消防支队,内蒙古自治区森林消防总队所属支队管理指挥岗位,27,133,133,5199.93,912
北京,外交部,地区业务司,英语一,26,1183,1133,5000.0,1906
黑龙江,黑龙江省森林消防总队,黑龙江森林消防总队所属森林消防支队（含直升机支队）,黑龙江省森林消防总队所属支队管理指挥岗位,25,88,83,4332.32,721
北京,首都机场公安局,首都机场公安局,北京大兴国际机场公共区派出所一级警长及以下,24,39,34,4211.0,1487
江苏,中国证券监督管理委员会江苏监管局,中国证券监督管理委员会江苏监管局,辖区会计类岗位一级主任科员及以下,15,388,387,4177.0,0
内蒙古,内蒙古自治区消防救援总队,内蒙古消防救援总队所属消防救援支队,内蒙古自治区消防救援总队所属支队管理指挥岗位,19,81,71,4000.74,568
新疆,新疆维吾尔自治区消防救援总队,新疆消防救援总队所属消防救援支队,新疆维吾尔自治区消防救援总队所属支队管理指挥岗位,10,39,39,2666.0,382
云南,云南省消防救援总队,云南省消防救援总队所属消防救援支队,云南省消防救援总队所属支队基层指挥员,9,35,35,2644.0,604
广东,国家税务总局广东省税务局,国家税务总局广州市天河区税务局,一级行政执法员（十七）,1,1919,1889,1889.0,1076
