地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
吉林,消防,吉林省消防救援总队所属消防救援支队,吉林省消防救援总队所属支队管理指挥岗位,9,32,32,3.56,391
黑龙江,消防,黑龙江森林消防总队所属森林消防支队（含直升机支队）,黑龙江省森林消防总队黑河市支队管理指挥岗位,9,113,110,12.22,179
云南,海关,隶属海关,海关业务二级主办及以下,9,17,11,1.22,244
广东,深圳出入境边防检查总站,深圳出入境边防检查总站,边检站一级警长及以下（三）,9,613,524,58.22,375
广东,深圳出入境边防检查总站,深圳出入境边防检查总站,边检站一级警长及以下（五）,9,2926,2570,285.56,1224
北京,商务部,对外贸易司等,一级主任科员及以下（英语四）,8,411,410,51.25,746
山西,消防,山西消防救援总队所属消防救援支队,山西省消防救援总队所属支队管理指挥岗位,8,36,36,4.5,747
山东,消防,山东省消防救援总队所属消防救援支队,山东省消防救援总队所属支队管理指挥岗位,8,31,31,3.88,1630
黑龙江,消防,黑龙江森林消防总队所属森林消防支队（含直升机支队）,黑龙江省森林消防总队大兴安岭地区支队管理指挥岗位,8,88,87,10.88,144
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（五）,8,101,100,12.5,352
广西,税务局,国家税务总局陆川县税务局,一级行政执法员（一）,8,47,46,5.75,92
广西,税务局,国家税务总局陆川县税务局,一级行政执法员（二）,8,76,69,8.63,75
广东,深圳出入境边防检查总站,深圳出入境边防检查总站,边检站一级警长及以下（七）,8,11,11,1.38,159
广东,深圳出入境边防检查总站,深圳出入境边防检查总站,边检站一级警长及以下（八）,8,408,381,47.63,207
天津,监管局,天津银保监局,监管部门一级主任科员及以下,8,501,499,62.38,397
江苏,监管局,无锡银保监分局,监管部门一级主任科员及以下,8,206,206,25.75,306
江苏,监管局,中国证券监督管理委员会江苏监管局,辖区法律类岗位一级主任科员及以下,8,566,527,65.88,0
海南,消防,海南消防救援总队所属消防救援支队,海南消防救援总队所属支队管理指挥岗位,8,47,28,3.5,705
青海,消防,青海省消防救援总队,青海省消防救援总队所属支队管理指挥岗位,8,66,31,3.88,458
北京,海关,首都机场海关,监管工作四级主办及以下（一）,8,283,261,32.63,965
北京,海关,北京大兴国际机场海关,监管工作四级主办及以下,8,268,247,30.88,684
辽宁,海关,隶属海关,海关业务四级主办及以下,8,12,12,1.5,446
上海,海关,隶属海关,财务审计四级主办及以下,8,209,209,26.13,636
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（一）,8,97,97,12.13,279
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（九）,8,232,223,27.88,438
上海,税务局,国家税务总局上海市浦东新区税务局,一级行政执法员（十一）,8,279,268,33.5,673
新疆,新疆出入境边防检查总站,新疆出入境边防检查总站,塔城边境管理支队一级警长及以下（一）,8,378,365,45.63,784
北京,外交部,地区业务司,法语,8,156,148,18.5,191
上海,海事局,吴淞海事局,吴淞海事局一级行政执法员（一）,8,35,35,4.38,124
广东,消防,广东消防救援总队所属消防救援支队,广东省消防救援总队所属支队管理指挥岗位,8,23,22,2.75,1091
江苏,海关,隶属海关,海关业务二级主办及以下,8,24,13,1.63,339
山东,海关,隶属海关,海关业务二级主办及以下,8,13,12,1.5,292
