地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
陕西,国家税务总局陕西省税务局,国家税务总局西安市未央区税务局,一级行政执法员（四）,2,1703,1693,846.5:1,171
广东,深圳海关,深圳海关,关税管理二级主管及以下,1,954,846,846:1,95
浙江,中国民用航空局华东地区管理局,中国民用航空浙江安全监督管理局,机场处一级主任科员及以下,1,844,844,844:1,264
云南,国家税务总局云南省税务局,国家税务总局澄江市税务局,一级行政执法员（四）,1,1013,839,839:1,189
贵州,国家税务总局贵州省税务局,国家税务总局贵阳国家高新技术产业开发区税务局,一级行政执法员（四）,2,1829,1677,838.5:1,174
山东,水利部黄河水利委员会,菏泽黄河河务局郓城黄河河务局,工程管理科一级主任科员及以下,1,836,832,832:1,273
四川,国家税务总局四川省税务局,国家税务总局泸州高新技术产业开发区税务局,一级行政执法员（三）,1,935,824,824:1,260
北京,中央网信办,网络安全应急指挥中心,业务处一级主任科员及以下（七）,2,1644,1643,821.5:1,894
广东,国家税务总局广东省税务局,国家税务总局广州市增城区税务局,一级行政执法员（一）,4,3377,3282,820.5:1,317
陕西,国家税务总局陕西省税务局,国家税务总局西安市雁塔区税务局,一级行政执法员（五）,4,3279,3269,817.25:1,569
福建,国家税务总局厦门市税务局,国家税务总局厦门市思明区税务局,一级行政执法员（七）,2,1837,1633,816.5:1,257
四川,国家自然资源督察成都局,国家自然资源督察成都局,办公室一级主任科员及以下,1,812,806,806:1,279
河南,河南省气象局,河南省新乡市原阳县气象局,综合管理科业务管理一级主任科员及以下,1,799,796,796:1,291
贵州,国家税务总局贵州省税务局,国家税务总局兴仁市税务局,一级行政执法员（一）,1,802,788,788:1,125
北京,国家税务总局北京市税务局,国家税务总局北京市房山区税务局,一级行政执法员（十）,2,1953,1546,773:1,496
四川,国家税务总局四川省税务局,国家税务总局蓬溪县税务局,一级行政执法员（三）,1,773,769,769:1,255
广东,广东海事局,佛山海事局,佛山海事局一级行政执法员（五）,1,1100,769,769:1,325
北京,国家税务总局北京市税务局,国家税务总局北京市通州区税务局,一级行政执法员（十）,2,2185,1519,759.5:1,536
四川,国家自然资源督察成都局,国家自然资源督察成都局,督察室一级主任科员及以下,2,1512,1508,754:1,300
北京,中国文联,中国书法家协会,办公室一级主任科员及以下,1,733,728,728:1,189
云南,国家统计局云南调查总队,国家统计局云南调查总队,墨江调查队一级科员（2）,1,880,727,727:1,430
四川,国家税务总局四川省税务局,国家税务总局内江市东兴区税务局,一级行政执法员（五）,1,726,723,723:1,359
河南,国家税务总局河南省税务局,国家税务总局濮阳县税务局,一级行政执法员（三）,1,793,719,719:1,168
江西,国家税务总局江西省税务局,国家税务总局南昌市西湖区税务局,一级行政执法员（五）,2,1452,1427,713.5:1,208
河南,国家税务总局河南省税务局,国家税务总局汝阳县税务局,一级行政执法员（三）,1,710,708,708:1,187
广东,国家统计局广东调查总队,国家统计局广东调查总队,国家统计局揭阳调查队业务科室一级科员,1,712,705,705:1,127
重庆,重庆市地震局,重庆市地震局,震害防御处（公共服务处）一级主任科员及以下,1,706,704,704:1,307
广东,广东海事局,广州海事局,广州海事局一级行政执法员（八）,1,950,703,703:1,169
北京,中国计划生育协会,组织宣传部,组织宣传处一级主任科员及以下,1,706,699,699:1,347
湖南,国家税务总局湖南省税务局,国家税务总局新化县税务局,一级行政执法员（四）,2,1410,1393,696.5:1,230
湖北,国家自然资源督察武汉局,国家自然资源督察武汉局,督察监督室一级主任科员及以下,1,703,696,696:1,177
福建,福建海事局,福州海事局,福州海事局一级行政执法员（八）,1,704,693,693:1,115
天津,国家税务总局天津市税务局,国家税务总局天津市红桥区税务局,一级行政执法员（九）,3,2687,2068,689.33:1,451
湖北,国家自然资源督察武汉局,国家自然资源督察武汉局,办公室一级主任科员及以下,1,696,687,687:1,249
北京,中国地方志指导小组办公室,中国地方志指导小组办公室,行政处一级主任科员及以下,1,729,686,686:1,181
四川,四川省气象局,四川省德阳市气象局,办公室（人事教育科）三级主任科员及以下,1,689,686,686:1,1080
新疆,国家税务总局新疆维吾尔自治区税务局,国家税务总局乌鲁木齐市沙依巴克区税务局,一级行政执法员（四）,2,1474,1372,686:1,287
湖北,国家自然资源督察武汉局,国家自然资源督察武汉局,督察统筹室一级主任科员及以下,1,697,685,685:1,207
河南,国家税务总局河南省税务局,国家税务总局开封市禹王台区税务局,一级行政执法员（四）,2,1794,1367,683.5:1,422
福建,国家税务总局厦门市税务局,国家税务总局厦门市税务局第三税务分局,一级主任科员及以下（三）,1,744,682,682:1,266
天津,国家税务总局天津市税务局,国家税务总局天津市津南区税务局,一级行政执法员（六）,2,1592,1361,680.5:1,355
云南,国家税务总局云南省税务局,国家税务总局鹤庆县税务局,一级行政执法员（一）,1,747,678,678:1,132
云南,国家税务总局云南省税务局,国家税务总局宾川县税务局,一级行政执法员（四）,1,820,676,676:1,91
贵州,国家税务总局贵州省税务局,国家税务总局修文县税务局,一级行政执法员（三）,2,1380,1349,674.5:1,103
广西,国家粮食和物资储备局广西局,国家粮食和物资储备局广西局,规划建设处一级主任科员及以下,1,676,674,674:1,174
贵州,国家税务总局贵州省税务局,国家税务总局兴义市税务局,一级行政执法员（五）,2,1342,1338,669:1,138
北京,中国文联,人事部,一级主任科员及以下,1,671,668,668:1,275
青海,国家税务总局青海省税务局,国家税务总局治多县税务局,一级行政执法员（四）,1,682,668,668:1,315
黑龙江,国家统计局黑龙江调查总队,国家统计局黑龙江调查总队,林甸调查队一级科员（2）,1,665,664,664:1,95
吉林,国家粮食和物资储备局吉林局,国家粮食和物资储备局吉林局,规划建设处一级主任科员及以下,1,668,662,662:1,241
山东,水利部黄河水利委员会,滨州黄河河务局惠民黄河河务局,工程管理科一级主任科员及以下,1,660,659,659:1,105
云南,国家税务总局云南省税务局,国家税务总局嵩明县税务局,一级行政执法员（六）,1,690,658,658:1,115
江苏,国家税务总局江苏省税务局,国家税务总局连云港市连云区税务局,一级行政执法员（二）,3,2108,1966,655.33:1,325
湖北,国家税务总局湖北省税务局,国家税务总局武汉市东湖生态旅游风景区税务局,一级行政执法员,1,811,655,655:1,230
北京,国家税务总局北京市税务局,国家税务总局北京经济技术开发区税务局,一级行政执法员（八）,3,2261,1955,651.67:1,418
四川,国家税务总局四川省税务局,国家税务总局简阳市税务局,一级行政执法员（三）,1,652,649,649:1,125
云南,国家税务总局云南省税务局,国家税务总局嵩明县税务局,一级行政执法员（五）,1,802,646,646:1,81
四川,国家税务总局四川省税务局,国家税务总局泸县税务局,一级行政执法员（七）,2,1393,1291,645.5:1,275
湖南,国家税务总局湖南省税务局,国家税务总局凤凰县税务局,一级行政执法员（三）,1,667,645,645:1,235
黑龙江,国家统计局黑龙江调查总队,国家统计局黑龙江调查总队,林甸调查队一级科员（1）,1,647,644,644:1,116
福建,厦门出入境边防检查总站,厦门出入境边防检查总站,高崎出入境边防检查站一级警长及以下（二）,2,1324,1286,643:1,407
四川,国家税务总局四川省税务局,国家税务总局达州市通川区税务局,一级行政执法员（七）,1,658,642,642:1,230
云南,国家税务总局云南省税务局,国家税务总局通海县税务局,一级行政执法员（三）,1,863,636,636:1,144
西藏,西藏出入境边防检查总站,西藏出入境边防检查总站,山南边境管理支队一级警长及以下（四）,1,686,636,636:1,354
河南,水利部黄河水利委员会,焦作黄河河务局武陟第一黄河河务局,工程管理科一级主任科员及以下,1,653,634,634:1,175
湖南,国家税务总局湖南省税务局,国家税务总局株洲市石峰区税务局,一级行政执法员（三）,2,1281,1265,632.5:1,244
福建,国家税务总局厦门市税务局,国家税务总局厦门市税务局第二稽查局,一级主任科员及以下（五）,2,1335,1261,630.5:1,243
云南,国家税务总局云南省税务局,国家税务总局威信县税务局,一级行政执法员（二）,1,987,628,628:1,125
贵州,国家税务总局贵州省税务局,国家税务总局惠水县税务局,一级行政执法员（三）,4,2513,2510,627.5:1,180
贵州,国家税务总局贵州省税务局,国家税务总局三穗县税务局,一级行政执法员,2,1283,1253,626.5:1,201
北京,中央档案馆国家档案局,行政财务司,房管基建处一级主任科员及以下,1,702,625,625:1,203
北京,民政部,社会救助司,综合处一级主任科员及以下,1,635,623,623:1,226
贵州,国家税务总局贵州省税务局,国家税务总局黎平县税务局,一级行政执法员（二）,1,627,622,622:1,123
山东,水利部黄河水利委员会,聊城黄河河务局东阿黄河河务局,工程管理科一级主任科员及以下,1,622,621,621:1,180
贵州,国家税务总局贵州省税务局,国家税务总局贵州百里杜鹃管理区税务局,一级行政执法员（二）,2,1321,1234,617:1,143
江西,国家税务总局江西省税务局,国家税务总局南昌市青云谱区税务局,一级行政执法员（二）,2,1251,1234,617:1,151
贵州,国家税务总局贵州省税务局,国家税务总局赤水市税务局,一级行政执法员（一）,3,1858,1841,613.67:1,195
安徽,长江海事局,芜湖海事局,芜湖海事局一级行政执法员（六）,1,639,612,612:1,145
新疆,中国民用航空局新疆管理局,民航新疆管理局,运输管理处一级主任科员及以下,1,660,611,611:1,246
天津,国家税务总局天津市税务局,国家税务总局天津市静海区税务局,一级行政执法员（四）,1,741,606,606:1,247
宁夏,国家税务总局宁夏回族自治区税务局,国家税务总局青铜峡市税务局,一级行政执法员（三）,2,1241,1210,605:1,90
河南,国家税务总局河南省税务局,国家税务总局平顶山市石龙区税务局,一级行政执法员（三）,1,616,599,599:1,105
西藏,西藏出入境边防检查总站,西藏出入境边防检查总站,日喀则边境管理支队一级警长及以下（二十六）,1,658,596,596:1,308
河南,国家税务总局河南省税务局,国家税务总局方城县税务局,一级行政执法员（四）,1,616,595,595:1,119
重庆,国家税务总局重庆市税务局,国家税务总局重庆市税务局第三税务分局,一级主任科员及以下（二）,1,620,595,595:1,267
天津,国家税务总局天津市税务局,国家税务总局中新天津生态城税务局,一级行政执法员（六）,1,952,594,594:1,319
甘肃,财政部甘肃监管局,甘肃监管局,一级主任科员及以下,1,593,591,591:1,150
云南,国家税务总局云南省税务局,国家税务总局禄丰市税务局,一级行政执法员（三）,1,708,590,590:1,92
河南,国家税务总局河南省税务局,国家税务总局鄢陵县税务局,一级行政执法员（五）,1,610,589,589:1,86
贵州,国家税务总局贵州省税务局,国家税务总局安顺市西秀区税务局,一级行政执法员（三）,2,1215,1175,587.5:1,70
安徽,国家税务总局安徽省税务局,国家税务总局合肥市庐阳区税务局,一级行政执法员（三）,4,2350,2345,586.25:1,401
江苏,国家税务总局江苏省税务局,国家税务总局靖江市税务局,一级行政执法员（二）,2,1242,1169,584.5:1,285
贵州,国家税务总局贵州省税务局,国家税务总局贵阳市观山湖区税务局,一级行政执法员（四）,2,1305,1169,584.5:1,129
北京,农业农村部,离退休干部局,政策指导处一级主任科员及以下,1,597,584,584:1,245
贵州,国家税务总局贵州省税务局,国家税务总局湄潭县税务局,一级行政执法员（三）,2,1270,1166,583:1,269
辽宁,国家税务总局辽宁省税务局,国家税务总局锦州市太和区税务局,一级行政执法员（三）,2,1164,1162,581:1,220
云南,国家税务总局云南省税务局,国家税务总局安宁市税务局,一级行政执法员（五）,2,1469,1162,581:1,138
福建,国家税务总局厦门市税务局,国家税务总局厦门象屿保税区税务局,一级行政执法员（三）,1,681,580,580:1,180
山西,国家税务总局山西省税务局,国家税务总局阳曲县税务局,一级行政执法员（一）,2,1165,1154,577:1,115
广东,国家税务总局广东省税务局,国家税务总局中山市税务局,一级行政执法员（三）,4,2710,2307,576.75:1,470
湖南,长江海事局,岳阳海事局,岳阳海事局一级行政执法员（五）,1,576,576,576:1,267
云南,国家税务总局云南省税务局,国家税务总局祥云县税务局,一级行政执法员（三）,1,690,573,573:1,95
河南,国家税务总局河南省税务局,国家税务总局长葛市税务局,一级行政执法员（三）,1,645,573,573:1,177
江西,江西省通信管理局,政策法规处,一级主任科员及以下,1,683,572,572:1,346
西藏,拉萨海关,聂拉木海关,海关监管（二）二级主办及以下,1,574,572,572:1,116
北京,国家税务总局北京市税务局,国家税务总局北京市昌平区税务局,一级行政执法员（七）,3,1821,1714,571.33:1,341
辽宁,国家税务总局大连市税务局,国家税务总局瓦房店市税务局,一级行政执法员（一）,1,577,567,567:1,203
贵州,国家税务总局贵州省税务局,国家税务总局贵阳国家高新技术产业开发区税务局,一级行政执法员（三）,2,1158,1130,565:1,159
河南,国家税务总局河南省税务局,国家税务总局栾川县税务局,一级行政执法员（三）,1,622,564,564:1,248
广东,国家税务总局广东省税务局,国家税务总局广州市天河区税务局,一级行政执法员（五）,3,2137,1690,563.33:1,273
陕西,国家税务总局陕西省税务局,国家税务总局西安市莲湖区税务局,一级行政执法员（五）,2,1125,1123,561.5:1,237
四川,国家税务总局四川省税务局,国家税务总局成都市锦江区税务局,一级行政执法员（五）,1,645,561,561:1,359
重庆,国家税务总局重庆市税务局,国家税务总局重庆市渝中区税务局,一级行政执法员（五）,1,581,559,559:1,261
北京,海关总署,全国海关信息中心（全国海关电子通关中心）,网络与信息安全处一级主任科员及以下,2,1119,1117,558.5:1,342
云南,国家统计局云南调查总队,国家统计局云南调查总队,开远调查队一级科员（2）,1,642,558,558:1,85
四川,国家税务总局四川省税务局,国家税务总局资阳高新技术产业园区税务局,一级行政执法员（三）,1,563,557,557:1,123
云南,国家税务总局云南省税务局,国家税务总局姚安县税务局,一级行政执法员（四）,1,644,555,555:1,76
贵州,国家税务总局贵州省税务局,国家税务总局六盘水市水城区税务局,一级行政执法员（三）,2,1111,1109,554.5:1,108
四川,国家税务总局四川省税务局,国家税务总局泸州市江阳区税务局,一级行政执法员（八）,1,595,552,552:1,60
陕西,国家税务总局陕西省税务局,国家税务总局西安市雁塔区税务局,一级行政执法员（三）,3,1665,1654,551.33:1,162
广东,国家统计局广东调查总队,国家统计局广东调查总队,国家统计局茂名调查队业务科室一级科员,1,561,551,551:1,116
福建,国家税务总局厦门市税务局,国家税务总局厦门市集美区税务局,一级行政执法员（一）,3,1775,1649,549.67:1,155
贵州,国家税务总局贵州省税务局,国家税务总局贵州双龙航空港经济区税务局,一级行政执法员（四）,2,1151,1099,549.5:1,171
广东,广州海关,海关总署税收征管局（广州）,关税管理二级主管及以下,1,618,549,549:1,169
福建,国家税务总局福建省税务局,国家税务总局华安县税务局,一级行政执法员,2,1542,1095,547.5:1,375
福建,福建省气象局,福建省宁德市福鼎市气象局,应急减灾科一级主任科员及以下,1,551,547,547:1,161
北京,国家卫生健康委员会,规划发展与信息化司,综合处一级主任科员及以下,1,553,547,547:1,160
辽宁,国家税务总局辽宁省税务局,国家税务总局沈阳市于洪区税务局,一级行政执法员（三）,3,1736,1634,544.67:1,251
上海,上海海事局,吴淞海事局,吴淞海事局一级行政执法员（五）,1,552,543,543:1,263
山东,水利部黄河水利委员会,菏泽黄河河务局鄄城黄河河务局,水政水资源科一级主任科员及以下,1,542,542,542:1,116
贵州,贵州省气象局,贵州省黔东南苗族侗族自治州丹寨县气象局,综合管理办公室一级科员,1,542,541,541:1,136
青海,国家税务总局青海省税务局,国家税务总局茫崖市税务局,一级行政执法员（四）,1,626,540,540:1,103
甘肃,甘肃省气象局,甘肃省甘南藏族自治州气象局,办公室一级主任科员及以下,1,541,539,539:1,52
贵州,国家税务总局贵州省税务局,国家税务总局凤冈县税务局,一级行政执法员（一）,2,1078,1077,538.5:1,74
重庆,国家税务总局重庆市税务局,国家税务总局重庆两路寸滩保税港区税务局,一级行政执法员（四）,1,558,538,538:1,186
云南,财政部云南监管局,云南监管局,一级主任科员及以下,2,1198,1075,537.5:1,218
山东,水利部黄河水利委员会,菏泽黄河河务局郓城黄河河务局,水政水资源科一级主任科员及以下,1,546,536,536:1,160
陕西,国家税务总局陕西省税务局,国家税务总局西安市莲湖区税务局,一级行政执法员（三）,3,1701,1601,533.67:1,249
河南,水利部黄河水利委员会,郑州黄河河务局中牟黄河河务局,财务科一级主任科员及以下,1,559,532,532:1,142
宁夏,国家税务总局宁夏回族自治区税务局,国家税务总局贺兰县税务局,一级行政执法员（三）,2,1119,1062,531:1,59
江西,国家税务总局江西省税务局,国家税务总局井冈山经济技术开发区税务局,一级行政执法员,2,1061,1061,530.5:1,259
广东,广东海事局,汕头海事局,汕头海事局一级行政执法员（三）,1,614,530,530:1,119
江苏,国家税务总局江苏省税务局,国家税务总局苏州市吴中区税务局,一级行政执法员（四）,2,1289,1060,530:1,271
陕西,国家税务总局陕西省税务局,国家税务总局西安曲江新区税务局,一级行政执法员（三）,4,2153,2120,530:1,258
陕西,国家税务总局陕西省税务局,国家税务总局西咸新区沣西新城税务局,一级行政执法员,2,1059,1057,528.5:1,195
北京,国家体育总局,体育经济司,预算管理处一级主任科员及以下,1,529,528,528:1,196
四川,国家税务总局四川省税务局,国家税务总局达州市通川区税务局,一级行政执法员（五）,1,632,527,527:1,317
新疆,新疆维吾尔自治区邮政管理局,博尔塔拉蒙古自治州邮政管理局,一级科员一,1,534,526,526:1,115
河南,河南省气象局,河南省周口市郸城县气象局,综合管理科业务管理一级主任科员及以下,1,526,525,525:1,140
北京,中央社会主义学院,中央社会主义学院办公室,秘书处一级主任科员及以下,1,525,524,524:1,319
山西,国家税务总局山西省税务局,国家税务总局运城市盐湖区税务局,一级行政执法员（四）,2,1102,1048,524:1,187
云南,国家税务总局云南省税务局,国家税务总局易门县税务局,一级行政执法员（三）,2,1318,1047,523.5:1,191
贵州,国家税务总局贵州省税务局,国家税务总局正安县税务局,一级行政执法员（四）,2,1156,1046,523:1,116
广东,国家税务总局广东省税务局,国家税务总局珠海市金湾区税务局,一级行政执法员（二）,2,1604,1040,520:1,413
重庆,国家税务总局重庆市税务局,国家税务总局重庆高新技术产业开发区税务局,一级行政执法员（四）,1,528,518,518:1,154
河南,河南省气象局,河南省濮阳市南乐县气象局,综合管理科业务管理一级主任科员及以下,1,518,518,518:1,124
贵州,国家税务总局贵州省税务局,国家税务总局从江县税务局,一级行政执法员（二）,2,1038,1032,516:1,125
云南,国家税务总局云南省税务局,国家税务总局鹤庆县税务局,一级行政执法员（二）,1,545,516,516:1,137
陕西,国家税务总局陕西省税务局,国家税务总局黄陵县税务局,一级行政执法员（二）,2,1041,1031,515.5:1,119
宁夏,国家税务总局宁夏回族自治区税务局,国家税务总局海原县税务局,一级行政执法员,2,1030,1028,514:1,60
河南,河南省气象局,河南省商丘市宁陵县气象局,综合管理科业务管理一级主任科员及以下,1,514,514,514:1,148
四川,四川省地震局,四川省地震局,机关处室一级主任科员及以下,1,522,514,514:1,202
内蒙古,国家统计局内蒙古调查总队,国家统计局内蒙古调查总队,呼和浩特调查队业务科室一级科员,1,635,512,512:1,53
陕西,国家税务总局陕西省税务局,国家税务总局西安市未央区税务局,一级行政执法员（五）,3,1539,1536,512:1,202
重庆,国家税务总局重庆市税务局,国家税务总局重庆市沙坪坝区税务局,一级行政执法员（五）,1,533,511,511:1,190
上海,国家税务总局上海市税务局,国家税务总局上海市税务局第三税务分局,一级主任科员及以下（八）,1,517,511,511:1,279
山西,山西省邮政管理局,长治市邮政管理局,一级主任科员及以下,1,510,509,509:1,350
黑龙江,黑龙江省气象局,黑龙江省牡丹江市气象局,计划财务审计科一级主任科员及以下,1,510,509,509:1,92
重庆,财政部重庆监管局,重庆监管局,一级主任科员及以下,2,1019,1017,508.5:1,390
重庆,国家税务总局重庆市税务局,国家税务总局重庆市南岸区税务局,一级行政执法员（五）,1,520,508,508:1,181
河北,河北省气象局,河北省邯郸市大名县气象局,防灾减灾科四级主任科员及以下,1,509,508,508:1,159
云南,国家税务总局云南省税务局,国家税务总局新平县税务局,一级行政执法员（四）,1,522,508,508:1,126
天津,国家税务总局天津市税务局,国家税务总局天津市蓟州区税务局,一级行政执法员（七）,2,1162,1015,507.5:1,259
江苏,国家税务总局江苏省税务局,国家税务总局连云港市连云区税务局,一级行政执法员（一）,4,2345,2030,507.5:1,470
福建,国家税务总局厦门市税务局,国家税务总局厦门市海沧区税务局,一级行政执法员（一）,1,644,507,507:1,100
北京,中央社会主义学院,中央社会主义学院行政事务管理部,财务审计处一级主任科员及以下,1,507,507,507:1,180
江西,国家税务总局江西省税务局,国家税务总局高安市税务局,一级行政执法员（三）,2,1139,1012,506:1,279
云南,国家税务总局云南省税务局,国家税务总局昭通市昭阳区税务局,一级行政执法员（三）,1,677,506,506:1,152
云南,国家税务总局云南省税务局,国家税务总局巍山县税务局,一级行政执法员（一）,2,1102,1011,505.5:1,100
辽宁,国家税务总局大连市税务局,国家税务总局大连保税区税务局,一级行政执法员（二）,1,520,505,505:1,139
广西,国家税务总局广西壮族自治区税务局,国家税务总局融安县税务局,一级行政执法员（四）,1,645,505,505:1,201
云南,国家税务总局云南省税务局,国家税务总局屏边县税务局,一级行政执法员（三）,1,508,505,505:1,74
广东,国家税务总局深圳市税务局,国家税务总局深圳市坪山区税务局,一级行政执法员（二）,4,2188,2017,504.25:1,524
